symbol,date
AAPL,2025-01-30
AAPL,2025-05-01
AAPL,2025-07-31
AAPL,2025-10-30
MSFT,2025-01-29
MSFT,2025-04-30
MSFT,2025-07-30
MSFT,2025-10-29
NVDA,2025-02-26
NVDA,2025-05-28
NVDA,2025-08-27
NVDA,2025-11-19
GOOGL,2025-02-04
GOOGL,2025-04-29
GOOGL,2025-07-29
GOOGL,2025-10-28
AMZN,2025-02-06
AMZN,2025-05-01
AMZN,2025-08-01
AMZN,2025-10-30
META,2025-01-29
META,2025-04-30
META,2025-07-30
META,2025-10-29
TSLA,2025-01-29
TSLA,2025-04-22
TSLA,2025-07-23
TSLA,2025-10-22
AMD,2025-01-28
AMD,2025-04-29
AMD,2025-07-29
AMD,2025-10-28
PLTR,2025-02-03
PLTR,2025-05-05
PLTR,2025-08-04
PLTR,2025-11-03
